연도 및 자치구,범죄 발생 합계,살인,강도,성폭력,절도,폭력,인구,면적,면적 대비 범죄 대응시설 수,범죄 대응시설 합계,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,지방세 합계,1인당 평균 지방세 납부액,인구밀도,외국인 주민 수,외국인 비율,성비,65세 이상 인구,65세 이상 인구 비율,공공기관 신뢰도,기초생활 수급자 수,기초생활 수급자 비율,방범용 CCTV 개수,면적 대비 방범용 CCTV 개수
2019_종로구,3846.000000 ,4.000000 ,7.000000 ,238.000000 ,1515.000000 ,2082.000000 ,161869.000000 ,23.910000 ,1.380176 ,33.000000 ,1.000000 ,2.000000 ,23.000000 ,0.000000 ,1.000000 ,6.000000 ,937809821000.000000 ,5793634.488383 ,6769.000000 ,14195.000000 ,0.087694 ,95.100000 ,27318.000000 ,0.168766 ,5.070000 ,4790.000000 ,0.029592 ,1338.000000 ,55.959849 
2019_중구,4327.000000 ,2.000000 ,6.000000 ,195.000000 ,2202.000000 ,1922.000000 ,136488.000000 ,9.960000 ,2.710843 ,27.000000 ,0.000000 ,2.000000 ,18.000000 ,1.000000 ,1.000000 ,5.000000 ,1655928475000.000000 ,12132410.724752 ,13704.000000 ,13796.000000 ,0.101078 ,96.300000 ,22974.000000 ,0.168322 ,5.240000 ,4611.000000 ,0.033783 ,1234.000000 ,123.895582 
2019_용산구,3313.000000 ,3.000000 ,3.000000 ,272.000000 ,999.000000 ,2036.000000 ,245185.000000 ,21.870000 ,0.868770 ,19.000000 ,0.000000 ,1.000000 ,12.000000 ,0.000000 ,1.000000 ,5.000000 ,712486006000.000000 ,2905911.886943 ,11213.000000 ,22332.000000 ,0.091082 ,93.300000 ,38346.000000 ,0.156396 ,5.150000 ,6957.000000 ,0.028374 ,1986.000000 ,90.809328 
2019_성동구,2512.000000 ,6.000000 ,9.000000 ,133.000000 ,970.000000 ,1394.000000 ,308979.000000 ,16.860000 ,1.245552 ,21.000000 ,0.000000 ,1.000000 ,15.000000 ,0.000000 ,1.000000 ,4.000000 ,530272967000.000000 ,1716210.379993 ,18327.000000 ,14042.000000 ,0.045446 ,95.900000 ,43796.000000 ,0.141744 ,5.260000 ,8488.000000 ,0.027471 ,2697.000000 ,159.964413 
2019_광진구,4011.000000 ,4.000000 ,6.000000 ,273.000000 ,1875.000000 ,1853.000000 ,366972.000000 ,17.060000 ,0.996483 ,17.000000 ,0.000000 ,1.000000 ,12.000000 ,0.000000 ,1.000000 ,3.000000 ,391148203000.000000 ,1065880.238819 ,21507.000000 ,23823.000000 ,0.064918 ,94.000000 ,47681.000000 ,0.129931 ,5.810000 ,9684.000000 ,0.026389 ,2233.000000 ,130.890973 
2019_동대문구,3692.000000 ,6.000000 ,10.000000 ,168.000000 ,1531.000000 ,1977.000000 ,363023.000000 ,14.220000 ,1.898734 ,27.000000 ,0.000000 ,1.000000 ,20.000000 ,0.000000 ,1.000000 ,5.000000 ,384482906000.000000 ,1059114.452803 ,25537.000000 ,23645.000000 ,0.065134 ,98.900000 ,59170.000000 ,0.162992 ,4.830000 ,13226.000000 ,0.036433 ,1969.000000 ,138.466948 
2019_중랑구,4268.000000 ,10.000000 ,4.000000 ,138.000000 ,1666.000000 ,2450.000000 ,402024.000000 ,18.500000 ,1.243243 ,23.000000 ,0.000000 ,1.000000 ,17.000000 ,0.000000 ,1.000000 ,4.000000 ,272915013000.000000 ,678852.538654 ,21736.000000 ,9785.000000 ,0.024339 ,98.500000 ,65065.000000 ,0.161844 ,5.520000 ,19885.000000 ,0.049462 ,2250.000000 ,121.621622 
2019_성북구,2877.000000 ,3.000000 ,3.000000 ,176.000000 ,1082.000000 ,1613.000000 ,454744.000000 ,24.570000 ,1.261701 ,31.000000 ,0.000000 ,2.000000 ,24.000000 ,0.000000 ,1.000000 ,4.000000 ,408127362000.000000 ,897488.173566 ,18505.000000 ,17976.000000 ,0.039530 ,94.000000 ,70699.000000 ,0.155470 ,4.910000 ,13719.000000 ,0.030169 ,2895.000000 ,117.826618 
2019_강북구,3838.000000 ,6.000000 ,3.000000 ,176.000000 ,1229.000000 ,2424.000000 ,317695.000000 ,23.600000 ,0.847458 ,20.000000 ,0.000000 ,1.000000 ,14.000000 ,0.000000 ,1.000000 ,4.000000 ,182700937000.000000 ,575082.821574 ,13462.000000 ,7530.000000 ,0.023702 ,95.300000 ,60474.000000 ,0.190352 ,4.810000 ,17723.000000 ,0.055786 ,1656.000000 ,70.169492 
2019_도봉구,2110.000000 ,1.000000 ,5.000000 ,90.000000 ,790.000000 ,1224.000000 ,335631.000000 ,20.660000 ,0.726041 ,15.000000 ,0.000000 ,1.000000 ,9.000000 ,0.000000 ,1.000000 ,4.000000 ,200934783000.000000 ,598677.663863 ,16245.000000 ,5027.000000 ,0.014978 ,95.700000 ,58664.000000 ,0.174787 ,5.790000 ,12192.000000 ,0.036326 ,835.000000 ,40.416263 
