연도 및 자치구,범죄 발생 합계,살인,강도,성폭력,절도,폭력,인구,면적,면적 대비 범죄 대응시설 수,범죄 대응시설 합계,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,지방세 합계,1인당 평균 지방세 납부액,인구밀도,외국인 주민 수,외국인 비율,성비,65세 이상 인구,65세 이상 인구 비율,공공기관 신뢰도,기초생활 수급자 수,기초생활 수급자 비율,방범용 CCTV 개수,면적 대비 방범용 CCTV 개수
2016_종로구,4459,6,12,238,1940,2263,161922,23.91,1.380175659,33,1,2,23,0,1,6,7.07522E+11,4369526.432,6771,11325,0.069941083,97,24950,0.154086535,4.9,4249,0.02624103,1066,44.58385613
2016_중구,4584,3,8,198,2150,2225,134409,9.96,2.81124498,28,0,2,19,1,1,5,1.25613E+12,9345562.633,13494,11312,0.084161031,98.7,20388,0.151686271,4.89,3972,0.029551593,565,56.72690763
2016_용산구,4137,4,9,251,1489,2384,245102,21.87,0.868770005,19,0,1,12,0,1,5,5.98947E+11,2443665.804,11209,17080,0.069685274,94.1,35547,0.145029416,4.92,5978,0.024389846,1689,77.22908093
2016_성동구,3026,4,3,104,1296,1619,307161,16.86,1.18623962,20,0,1,15,0,0,4,3.96583E+11,1291124.033,18218,12151,0.039559059,98.3,39140,0.127425031,4.73,7221,0.023508844,1328,78.76631079
2016_광진구,5322,4,11,279,2636,2392,372104,17.06,0.879249707,15,0,1,10,0,1,3,3.20004E+11,859984.6172,21807,20314,0.054592265,95.8,41292,0.110968976,5.12,7588,0.020392148,657,38.51113716
2016_동대문구,4787,5,10,190,1940,2642,370312,14.22,1.969057665,28,0,1,21,0,1,5,3.33335E+11,900147.6323,26050,18512,0.049990278,100.1,53301,0.143935384,4.79,11585,0.03128443,1425,100.2109705
2016_중랑구,5041,8,14,164,1691,3164,415677,18.5,1.297297297,24,0,1,18,0,1,4,2.64945E+11,637381.0699,22474,8081,0.019440575,99.4,55842,0.134339884,5.05,15194,0.036552419,898,48.54054054
2016_성북구,3744,4,8,154,1470,2108,461617,24.58,1.261187958,31,0,2,24,0,1,4,3.31295E+11,717683.6187,18781,14247,0.030863248,95.5,63878,0.138378786,5.06,12888,0.027919249,1534,62.40846216
2016_강북구,4229,7,5,217,1222,2778,330704,23.6,0.889830508,21,0,1,15,0,1,4,1.76213E+11,532842.1761,14015,6197,0.018738812,96.7,53964,0.163179157,5.04,15325,0.046340534,840,35.59322034
2016_도봉구,2438,3,5,123,866,1441,350272,20.67,0.774068699,16,0,1,10,0,1,4,1.86063E+11,531197.1325,16948,3985,0.011376873,96.8,50466,0.144076603,5.24,10331,0.029494222,443,21.43202709
2016_노원구,4543,5,6,159,1857,2516,571212,35.44,0.733634312,26,0,1,19,0,1,5,3.12648E+11,547341.9869,16119,6449,0.011290029,94.9,70819,0.123980239,5.38,24889,0.043572264,1268,35.77878104
2016_은평구,4501,6,9,156,1666,2664,495937,29.7,0.909090909,27,0,2,20,0,1,4,2.98678E+11,602248.8985,16696,8065,0.016262146,94.8,71304,0.143776326,5.67,17644,0.0355771,2075,69.86531987
2016_서대문구,3665,6,5,175,1503,1976,325871,17.61,1.022146508,18,1,1,11,0,1,4,3.16054E+11,969875.6318,18506,13436,0.041231039,94.3,47303,0.145158667,5.17,7563,0.02320857,1179,66.95059625
2016_마포구,5873,4,4,399,2527,2939,390887,23.84,1.048657718,25,0,1,17,0,1,6,6.14919E+11,1573138.291,16394,13360,0.034178676,92.1,48060,0.122951134,5.26,7717,0.019742278,970,40.68791946
2016_양천구,4112,5,7,131,1719,2250,481845,17.41,1.378518093,24,0,1,17,0,1,5,4.22857E+11,877579.2859,27681,8218,0.017055277,97.9,51957,0.107829281,5.13,10660,0.022123297,2026,116.3699024
2016_강서구,5450,9,10,275,1952,3204,602104,41.44,0.482625483,20,0,1,13,0,1,5,5.82348E+11,967188.9873,14531,11962,0.019867,95.2,70889,0.117735474,5.18,21071,0.034995615,960,23.16602317
2016_구로구,5366,9,10,273,1910,3164,449600,20.12,1.34194831,27,0,1,19,0,1,6,3.92716E+11,873479.3439,22347,48279,0.107382117,98.9,55159,0.122684609,5.13,8660,0.019261566,1719,85.43737575
2016_금천구,3645,6,7,175,1264,2193,254654,13.02,1.152073733,15,0,1,12,0,0,2,3.24783E+11,1275389.536,19560,29660,0.116471762,103.8,31976,0.125566455,5.4,9545,0.037482231,1090,83.71735791
2016_영등포구,6322,13,19,356,2341,3593,406779,24.53,0.896860987,22,0,1,15,0,1,5,1.02163E+12,2511507.101,16583,55427,0.136258263,99.9,51186,0.125832454,5.17,8044,0.019774865,1140,46.47370567
2016_동작구,3227,8,7,325,1226,1661,413247,16.35,1.345565749,22,0,1,16,0,1,4,3.56614E+11,862957.1999,25269,18033,0.04363734,95.9,55052,0.133218148,4.95,7991,0.019337103,1200,73.39449541
2016_관악구,5678,6,12,322,2103,3235,525607,29.57,0.87926953,26,0,1,20,0,1,4,3.22854E+11,614249.3993,17776,29270,0.055687995,102.2,66659,0.126822892,4.95,13039,0.024807508,2048,69.25938451
2016_서초구,4989,5,13,428,2205,2338,451477,46.98,0.595998297,28,0,2,19,0,1,6,1.5581E+12,3451109.563,9610,8292,0.018366384,92.3,50906,0.11275436,4.69,4853,0.010749163,1785,37.99489144
2016_강남구,8149,5,39,516,3587,4002,572140,39.5,0.810126582,32,0,2,24,0,1,5,2.67101E+12,4668451.958,14484,9762,0.017062257,91.9,61822,0.108053973,4.97,11532,0.020155906,3447,87.26582278
2016_송파구,6090,9,15,234,2543,3289,664946,33.88,0.85596222,29,0,1,21,0,1,6,1.19175E+12,1792257.161,19629,12562,0.01889176,95,70918,0.10665227,4.92,9480,0.014256797,798,23.55371901
2016_강동구,4462,4,14,160,1754,2530,448471,24.59,0.976006507,24,0,1,17,0,1,5,4.65178E+11,1037254.008,18238,8058,0.017967717,99.1,53121,0.11844913,4.82,10004,0.022306905,863,35.0955673
