연도 및 자치구,범죄 발생 합계,살인,강도,성폭력,절도,폭력,인구,면적,면적 대비 범죄 대응시설 수,범죄 대응시설 합계,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,지방세 합계,1인당 평균 지방세 납부액,인구밀도,외국인 주민 수,외국인 비율,성비,65세 이상 인구,65세 이상 인구 비율,공공기관 신뢰도,기초생활 수급자 수,기초생활 수급자 비율,방범용 CCTV 개수,면적 대비 방범용 CCTV 개수
2020_종로구,3102.000000 ,9.000000 ,7.000000 ,192.000000 ,1183.000000 ,1711.000000 ,158996.000000 ,23.910000 ,1.338352 ,32.000000 ,1.000000 ,2.000000 ,22.000000 ,0.000000 ,1.000000 ,6.000000 ,975053926000.000000 ,6132568.907394 ,6649.000000 ,12610.000000 ,0.079310 ,94.600000 ,28311.000000 ,0.178061 ,5.130000 ,5232.000000 ,0.032906 ,1526.000000 ,63.822668 
2020_중구,3411.000000 ,2.000000 ,5.000000 ,186.000000 ,1642.000000 ,1576.000000 ,134635.000000 ,9.960000 ,2.710843 ,27.000000 ,0.000000 ,2.000000 ,18.000000 ,1.000000 ,1.000000 ,5.000000 ,1651563181000.000000 ,12266967.586437 ,13517.000000 ,12733.000000 ,0.094574 ,95.600000 ,24174.000000 ,0.179552 ,5.280000 ,5299.000000 ,0.039358 ,1482.000000 ,148.795181 
2020_용산구,2969.000000 ,5.000000 ,6.000000 ,230.000000 ,1111.000000 ,1617.000000 ,244645.000000 ,21.870000 ,0.868770 ,19.000000 ,0.000000 ,1.000000 ,12.000000 ,0.000000 ,1.000000 ,5.000000 ,1002792336000.000000 ,4098969.265671 ,11188.000000 ,19105.000000 ,0.078093 ,92.800000 ,39779.000000 ,0.162599 ,5.370000 ,8265.000000 ,0.033784 ,2131.000000 ,97.439415 
2020_성동구,2362.000000 ,5.000000 ,3.000000 ,115.000000 ,1016.000000 ,1223.000000 ,300505.000000 ,16.860000 ,1.245552 ,21.000000 ,0.000000 ,1.000000 ,15.000000 ,0.000000 ,1.000000 ,4.000000 ,730130655000.000000 ,2429678.890534 ,17822.000000 ,12886.000000 ,0.042881 ,95.500000 ,45435.000000 ,0.151195 ,5.370000 ,9718.000000 ,0.032339 ,3162.000000 ,187.544484 
2020_광진구,3601.000000 ,2.000000 ,4.000000 ,255.000000 ,1664.000000 ,1676.000000 ,360109.000000 ,17.060000 ,0.996483 ,17.000000 ,0.000000 ,1.000000 ,12.000000 ,0.000000 ,1.000000 ,3.000000 ,434392830000.000000 ,1206281.514764 ,21105.000000 ,22871.000000 ,0.063511 ,93.300000 ,50311.000000 ,0.139710 ,5.560000 ,11864.000000 ,0.032946 ,2375.000000 ,139.214537 
2020_동대문구,3401.000000 ,10.000000 ,6.000000 ,161.000000 ,1440.000000 ,1784.000000 ,357014.000000 ,14.220000 ,1.898734 ,27.000000 ,0.000000 ,1.000000 ,20.000000 ,0.000000 ,1.000000 ,5.000000 ,418400622000.000000 ,1171944.579204 ,25114.000000 ,21834.000000 ,0.061157 ,98.100000 ,61612.000000 ,0.172576 ,5.670000 ,15043.000000 ,0.042136 ,2142.000000 ,150.632911 
2020_중랑구,3726.000000 ,10.000000 ,5.000000 ,183.000000 ,1506.000000 ,2022.000000 ,399562.000000 ,18.500000 ,1.243243 ,23.000000 ,0.000000 ,1.000000 ,17.000000 ,0.000000 ,1.000000 ,4.000000 ,323529826000.000000 ,809711.198763 ,21603.000000 ,10105.000000 ,0.025290 ,97.800000 ,69341.000000 ,0.173543 ,5.480000 ,24833.000000 ,0.062151 ,3165.000000 ,171.081081 
2020_성북구,2567.000000 ,4.000000 ,3.000000 ,142.000000 ,988.000000 ,1430.000000 ,447056.000000 ,24.580000 ,1.261188 ,31.000000 ,0.000000 ,2.000000 ,24.000000 ,0.000000 ,1.000000 ,4.000000 ,459382747000.000000 ,1027573.160857 ,18190.000000 ,16004.000000 ,0.035799 ,93.100000 ,73613.000000 ,0.164662 ,5.270000 ,15634.000000 ,0.034971 ,3081.000000 ,125.345810 
2020_강북구,2770.000000 ,9.000000 ,5.000000 ,159.000000 ,780.000000 ,1817.000000 ,311569.000000 ,23.600000 ,0.847458 ,20.000000 ,0.000000 ,1.000000 ,14.000000 ,0.000000 ,1.000000 ,4.000000 ,215952215000.000000 ,693112.007292 ,13202.000000 ,7382.000000 ,0.023693 ,95.100000 ,63313.000000 ,0.203207 ,5.600000 ,19846.000000 ,0.063697 ,2337.000000 ,99.025424 
2020_도봉구,2179.000000 ,2.000000 ,2.000000 ,82.000000 ,861.000000 ,1234.000000 ,327361.000000 ,20.650000 ,0.726392 ,15.000000 ,0.000000 ,1.000000 ,9.000000 ,0.000000 ,1.000000 ,4.000000 ,223710721000.000000 ,683376.214638 ,15852.000000 ,4876.000000 ,0.014895 ,95.200000 ,62009.000000 ,0.189421 ,5.530000 ,13876.000000 ,0.042387 ,979.000000 ,47.409201 
