연도 및 자치구,범죄 발생 합계,살인,강도,성폭력,절도,폭력,인구,면적,면적 대비 범죄 대응시설 수,범죄 대응시설 합계,경찰청,경찰서,지구대파출소치안센터,소방본부,소방서,119안전센터,지방세 합계,1인당 평균 지방세 납부액,인구밀도,외국인 주민 수,외국인 비율,성비,65세 이상 인구,65세 이상 인구 비율,공공기관 신뢰도,기초생활 수급자 수,기초생활 수급자 비율,방범용 CCTV 개수,면적 대비 방범용 CCTV 개수
2016_마포구,5873.000000 ,4.000000 ,4.000000 ,399.000000 ,2527.000000 ,2939.000000 ,390887.000000 ,23.840000 ,1.048658 ,25.000000 ,0.000000 ,1.000000 ,17.000000 ,0.000000 ,1.000000 ,6.000000 ,614919307000.000000 ,1573138.290606 ,16394.000000 ,13360.000000 ,0.034179 ,92.100000 ,48060.000000 ,0.122951 ,5.260000 ,7717.000000 ,0.019742 ,970.000000 ,40.687919 
2016_양천구,4112.000000 ,5.000000 ,7.000000 ,131.000000 ,1719.000000 ,2250.000000 ,481845.000000 ,17.410000 ,1.378518 ,24.000000 ,0.000000 ,1.000000 ,17.000000 ,0.000000 ,1.000000 ,5.000000 ,422857191000.000000 ,877579.285870 ,27681.000000 ,8218.000000 ,0.017055 ,97.900000 ,51957.000000 ,0.107829 ,5.130000 ,10660.000000 ,0.022123 ,2026.000000 ,116.369902 
2016_강서구,5450.000000 ,9.000000 ,10.000000 ,275.000000 ,1952.000000 ,3204.000000 ,602104.000000 ,41.440000 ,0.482625 ,20.000000 ,0.000000 ,1.000000 ,13.000000 ,0.000000 ,1.000000 ,5.000000 ,582348358000.000000 ,967188.987285 ,14531.000000 ,11962.000000 ,0.019867 ,95.200000 ,70889.000000 ,0.117735 ,5.180000 ,21071.000000 ,0.034996 ,960.000000 ,23.166023 
2016_구로구,5366.000000 ,9.000000 ,10.000000 ,273.000000 ,1910.000000 ,3164.000000 ,449600.000000 ,20.120000 ,1.341948 ,27.000000 ,0.000000 ,1.000000 ,19.000000 ,0.000000 ,1.000000 ,6.000000 ,392716313000.000000 ,873479.343861 ,22347.000000 ,48279.000000 ,0.107382 ,98.900000 ,55159.000000 ,0.122685 ,5.130000 ,8660.000000 ,0.019262 ,1719.000000 ,85.437376 
2016_금천구,3645.000000 ,6.000000 ,7.000000 ,175.000000 ,1264.000000 ,2193.000000 ,254654.000000 ,13.020000 ,1.152074 ,15.000000 ,0.000000 ,1.000000 ,12.000000 ,0.000000 ,0.000000 ,2.000000 ,324783047000.000000 ,1275389.536391 ,19560.000000 ,29660.000000 ,0.116472 ,103.800000 ,31976.000000 ,0.125566 ,5.400000 ,9545.000000 ,0.037482 ,1090.000000 ,83.717358 
2016_영등포구,6322.000000 ,13.000000 ,19.000000 ,356.000000 ,2341.000000 ,3593.000000 ,406779.000000 ,24.530000 ,0.896861 ,22.000000 ,0.000000 ,1.000000 ,15.000000 ,0.000000 ,1.000000 ,5.000000 ,1021628347000.000000 ,2511507.100907 ,16583.000000 ,55427.000000 ,0.136258 ,99.900000 ,51186.000000 ,0.125832 ,5.170000 ,8044.000000 ,0.019775 ,1140.000000 ,46.473706 
2016_동작구,3227.000000 ,8.000000 ,7.000000 ,325.000000 ,1226.000000 ,1661.000000 ,413247.000000 ,16.350000 ,1.345566 ,22.000000 ,0.000000 ,1.000000 ,16.000000 ,0.000000 ,1.000000 ,4.000000 ,356614474000.000000 ,862957.199931 ,25269.000000 ,18033.000000 ,0.043637 ,95.900000 ,55052.000000 ,0.133218 ,4.950000 ,7991.000000 ,0.019337 ,1200.000000 ,73.394495 
2016_관악구,5678.000000 ,6.000000 ,12.000000 ,322.000000 ,2103.000000 ,3235.000000 ,525607.000000 ,29.570000 ,0.879270 ,26.000000 ,0.000000 ,1.000000 ,20.000000 ,0.000000 ,1.000000 ,4.000000 ,322853784000.000000 ,614249.399266 ,17776.000000 ,29270.000000 ,0.055688 ,102.200000 ,66659.000000 ,0.126823 ,4.950000 ,13039.000000 ,0.024808 ,2048.000000 ,69.259385 
2016_서초구,4989.000000 ,5.000000 ,13.000000 ,428.000000 ,2205.000000 ,2338.000000 ,451477.000000 ,46.980000 ,0.595998 ,28.000000 ,0.000000 ,2.000000 ,19.000000 ,0.000000 ,1.000000 ,6.000000 ,1558096592000.000000 ,3451109.562613 ,9610.000000 ,8292.000000 ,0.018366 ,92.300000 ,50906.000000 ,0.112754 ,4.690000 ,4853.000000 ,0.010749 ,1785.000000 ,37.994891 
2016_강남구,8149.000000 ,5.000000 ,39.000000 ,516.000000 ,3587.000000 ,4002.000000 ,572140.000000 ,39.500000 ,0.810127 ,32.000000 ,0.000000 ,2.000000 ,24.000000 ,0.000000 ,1.000000 ,5.000000 ,2671008103000.000000 ,4668451.957563 ,14484.000000 ,9762.000000 ,0.017062 ,91.900000 ,61822.000000 ,0.108054 ,4.970000 ,11532.000000 ,0.020156 ,3447.000000 ,87.265823 
2016_송파구,6090.000000 ,9.000000 ,15.000000 ,234.000000 ,2543.000000 ,3289.000000 ,664946.000000 ,33.880000 ,0.855962 ,29.000000 ,0.000000 ,1.000000 ,21.000000 ,0.000000 ,1.000000 ,6.000000 ,1191754230000.000000 ,1792257.160732 ,19629.000000 ,12562.000000 ,0.018892 ,95.000000 ,70918.000000 ,0.106652 ,4.920000 ,9480.000000 ,0.014257 ,798.000000 ,23.553719 
2016_강동구,4462.000000 ,4.000000 ,14.000000 ,160.000000 ,1754.000000 ,2530.000000 ,448471.000000 ,24.590000 ,0.976007 ,24.000000 ,0.000000 ,1.000000 ,17.000000 ,0.000000 ,1.000000 ,5.000000 ,465178342000.000000 ,1037254.007506 ,18238.000000 ,8058.000000 ,0.017968 ,99.100000 ,53121.000000 ,0.118449 ,4.820000 ,10004.000000 ,0.022307 ,863.000000 ,35.095567 
2017_종로구,4057.000000 ,7.000000 ,10.000000 ,253.000000 ,1644.000000 ,2143.000000 ,164257.000000 ,23.910000 ,1.380176 ,33.000000 ,1.000000 ,2.000000 ,23.000000 ,0.000000 ,1.000000 ,6.000000 ,784938780000.000000 ,4778723.463840 ,6869.000000 ,11908.000000 ,0.072496 ,96.400000 ,26030.000000 ,0.158471 ,5.490000 ,4296.000000 ,0.026154 ,1225.000000 ,51.233793 
2017_중구,4184.000000 ,1.000000 ,9.000000 ,267.000000 ,1846.000000 ,2061.000000 ,134593.000000 ,9.960000 ,2.710843 ,27.000000 ,0.000000 ,2.000000 ,18.000000 ,1.000000 ,1.000000 ,5.000000 ,1264124615000.000000 ,9392201.786126 ,13514.000000 ,11382.000000 ,0.084566 ,98.100000 ,21148.000000 ,0.157126 ,5.290000 ,3966.000000 ,0.029467 ,838.000000 ,84.136546 
2017_용산구,4060.000000 ,1.000000 ,5.000000 ,327.000000 ,1346.000000 ,2381.000000 ,244444.000000 ,21.870000 ,0.868770 ,19.000000 ,0.000000 ,1.000000 ,12.000000 ,0.000000 ,1.000000 ,5.000000 ,746676480000.000000 ,3054591.153802 ,11179.000000 ,17629.000000 ,0.072119 ,93.700000 ,36488.000000 ,0.149269 ,5.050000 ,5940.000000 ,0.024300 ,1831.000000 ,83.721994 
2017_성동구,2767.000000 ,1.000000 ,3.000000 ,132.000000 ,1072.000000 ,1559.000000 ,312711.000000 ,16.860000 ,1.245552 ,21.000000 ,0.000000 ,1.000000 ,15.000000 ,0.000000 ,1.000000 ,4.000000 ,503219698000.000000 ,1609216.490626 ,18551.000000 ,12604.000000 ,0.040306 ,97.400000 ,41152.000000 ,0.131598 ,5.240000 ,7003.000000 ,0.022394 ,2103.000000 ,124.733096 
2017_광진구,4646.000000 ,6.000000 ,13.000000 ,261.000000 ,2220.000000 ,2146.000000 ,372298.000000 ,17.060000 ,0.937866 ,16.000000 ,0.000000 ,1.000000 ,11.000000 ,0.000000 ,1.000000 ,3.000000 ,364837202000.000000 ,979960.144830 ,21819.000000 ,21216.000000 ,0.056987 ,95.200000 ,43790.000000 ,0.117621 ,5.130000 ,7411.000000 ,0.019906 ,1112.000000 ,65.181712 
2017_동대문구,3975.000000 ,11.000000 ,3.000000 ,165.000000 ,1547.000000 ,2249.000000 ,366011.000000 ,14.220000 ,1.969058 ,28.000000 ,0.000000 ,1.000000 ,21.000000 ,0.000000 ,1.000000 ,5.000000 ,348706313000.000000 ,952720.855384 ,25748.000000 ,20374.000000 ,0.055665 ,100.000000 ,55547.000000 ,0.151763 ,4.760000 ,11300.000000 ,0.030873 ,1535.000000 ,107.946554 
2017_중랑구,4571.000000 ,5.000000 ,3.000000 ,172.000000 ,1533.000000 ,2858.000000 ,412780.000000 ,18.500000 ,1.297297 ,24.000000 ,0.000000 ,1.000000 ,18.000000 ,0.000000 ,1.000000 ,4.000000 ,252708042000.000000 ,612209.995639 ,22318.000000 ,8475.000000 ,0.020532 ,99.200000 ,59189.000000 ,0.143391 ,5.250000 ,15228.000000 ,0.036891 ,1047.000000 ,56.594595 
2017_성북구,3434.000000 ,7.000000 ,8.000000 ,173.000000 ,1344.000000 ,1902.000000 ,455407.000000 ,24.570000 ,1.261701 ,31.000000 ,0.000000 ,2.000000 ,24.000000 ,0.000000 ,1.000000 ,4.000000 ,347738713000.000000 ,763577.883080 ,18533.000000 ,15338.000000 ,0.033680 ,95.200000 ,66121.000000 ,0.145191 ,4.820000 ,12434.000000 ,0.027303 ,1940.000000 ,78.958079 
2017_강북구,3393.000000 ,8.000000 ,7.000000 ,208.000000 ,1014.000000 ,2156.000000 ,328002.000000 ,23.600000 ,0.889831 ,21.000000 ,0.000000 ,1.000000 ,15.000000 ,0.000000 ,1.000000 ,4.000000 ,183418657000.000000 ,559199.812806 ,13898.000000 ,6487.000000 ,0.019777 ,96.000000 ,56437.000000 ,0.172063 ,5.450000 ,14953.000000 ,0.045588 ,841.000000 ,35.635593 
2017_도봉구,1999.000000 ,1.000000 ,3.000000 ,104.000000 ,633.000000 ,1258.000000 ,346234.000000 ,20.670000 ,0.774069 ,16.000000 ,0.000000 ,1.000000 ,10.000000 ,0.000000 ,1.000000 ,4.000000 ,193651970000.000000 ,559309.513219 ,16752.000000 ,4145.000000 ,0.011972 ,96.200000 ,53445.000000 ,0.154361 ,5.220000 ,10625.000000 ,0.030687 ,542.000000 ,26.221577 
2017_노원구,4209.000000 ,4.000000 ,9.000000 ,180.000000 ,1538.000000 ,2478.000000 ,558075.000000 ,35.440000 ,0.733634 ,26.000000 ,0.000000 ,1.000000 ,19.000000 ,0.000000 ,1.000000 ,5.000000 ,298708626000.000000 ,535248.176320 ,15748.000000 ,6539.000000 ,0.011717 ,94.600000 ,74178.000000 ,0.132918 ,5.100000 ,24224.000000 ,0.043406 ,1433.000000 ,40.434537 
2017_은평구,3883.000000 ,6.000000 ,4.000000 ,230.000000 ,1387.000000 ,2256.000000 ,491202.000000 ,29.710000 ,0.908785 ,27.000000 ,0.000000 ,2.000000 ,20.000000 ,0.000000 ,1.000000 ,4.000000 ,365801957000.000000 ,744707.792314 ,16534.000000 ,8413.000000 ,0.017127 ,94.400000 ,74400.000000 ,0.151465 ,4.960000 ,17350.000000 ,0.035322 ,2310.000000 ,77.751599 
2017_서대문구,3113.000000 ,4.000000 ,1.000000 ,202.000000 ,1230.000000 ,1676.000000 ,325028.000000 ,17.630000 ,1.020987 ,18.000000 ,1.000000 ,1.000000 ,11.000000 ,0.000000 ,1.000000 ,4.000000 ,312943338000.000000 ,962819.627847 ,18440.000000 ,14763.000000 ,0.045421 ,93.500000 ,48898.000000 ,0.150442 ,4.860000 ,7719.000000 ,0.023749 ,1525.000000 ,86.500284 
2017_마포구,5278.000000 ,3.000000 ,8.000000 ,500.000000 ,2094.000000 ,2673.000000 ,385783.000000 ,23.850000 ,1.048218 ,25.000000 ,0.000000 ,1.000000 ,17.000000 ,0.000000 ,1.000000 ,6.000000 ,630053204000.000000 ,1633180.321580 ,16174.000000 ,13842.000000 ,0.035880 ,91.300000 ,49356.000000 ,0.127937 ,4.680000 ,7444.000000 ,0.019296 ,1328.000000 ,55.681342 
2017_양천구,3882.000000 ,3.000000 ,3.000000 ,138.000000 ,1590.000000 ,2148.000000 ,475018.000000 ,17.410000 ,1.378518 ,24.000000 ,0.000000 ,1.000000 ,17.000000 ,0.000000 ,1.000000 ,5.000000 ,400827264000.000000 ,843814.895436 ,27289.000000 ,8152.000000 ,0.017161 ,97.400000 ,55136.000000 ,0.116071 ,4.750000 ,10419.000000 ,0.021934 ,2367.000000 ,135.956347 
2017_강서구,5135.000000 ,11.000000 ,4.000000 ,316.000000 ,1888.000000 ,2916.000000 ,608255.000000 ,41.440000 ,0.458494 ,19.000000 ,0.000000 ,1.000000 ,12.000000 ,0.000000 ,1.000000 ,5.000000 ,743619104000.000000 ,1222544.991821 ,14679.000000 ,12532.000000 ,0.020603 ,94.900000 ,75845.000000 ,0.124693 ,5.130000 ,20765.000000 ,0.034139 ,1164.000000 ,28.088803 
2017_구로구,4895.000000 ,7.000000 ,8.000000 ,328.000000 ,1725.000000 ,2827.000000 ,441559.000000 ,20.120000 ,1.242545 ,25.000000 ,0.000000 ,1.000000 ,17.000000 ,0.000000 ,1.000000 ,6.000000 ,435901885000.000000 ,987188.314585 ,21946.000000 ,49996.000000 ,0.113226 ,98.700000 ,58213.000000 ,0.131835 ,5.680000 ,8463.000000 ,0.019166 ,2231.000000 ,110.884692 
2017_금천구,3265.000000 ,5.000000 ,5.000000 ,240.000000 ,1141.000000 ,1874.000000 ,253491.000000 ,13.020000 ,1.152074 ,15.000000 ,0.000000 ,1.000000 ,12.000000 ,0.000000 ,0.000000 ,2.000000 ,351267924000.000000 ,1385721.481236 ,19469.000000 ,30317.000000 ,0.119598 ,103.300000 ,33842.000000 ,0.133504 ,5.030000 ,9454.000000 ,0.037295 ,1181.000000 ,90.706605 
2017_영등포구,5969.000000 ,15.000000 ,5.000000 ,455.000000 ,2304.000000 ,3190.000000 ,402024.000000 ,24.550000 ,0.896130 ,22.000000 ,0.000000 ,1.000000 ,15.000000 ,0.000000 ,1.000000 ,5.000000 ,1050612085000.000000 ,2613306.879689 ,16377.000000 ,54145.000000 ,0.134681 ,99.700000 ,53299.000000 ,0.132577 ,5.650000 ,7833.000000 ,0.019484 ,1429.000000 ,58.207739 
2017_동작구,3330.000000 ,1.000000 ,7.000000 ,396.000000 ,1226.000000 ,1700.000000 ,408493.000000 ,16.350000 ,1.406728 ,23.000000 ,0.000000 ,1.000000 ,17.000000 ,0.000000 ,1.000000 ,4.000000 ,382468574000.000000 ,936291.623112 ,24978.000000 ,18592.000000 ,0.045514 ,95.200000 ,57071.000000 ,0.139711 ,4.720000 ,8004.000000 ,0.019594 ,1471.000000 ,89.969419 
2017_관악구,5525.000000 ,8.000000 ,7.000000 ,379.000000 ,1979.000000 ,3152.000000 ,520929.000000 ,29.570000 ,0.879270 ,26.000000 ,0.000000 ,1.000000 ,20.000000 ,0.000000 ,1.000000 ,4.000000 ,347786658000.000000 ,667627.753494 ,17617.000000 ,29335.000000 ,0.056313 ,101.600000 ,69729.000000 ,0.133855 ,5.780000 ,13192.000000 ,0.025324 ,2611.000000 ,88.298952 
2017_서초구,4708.000000 ,9.000000 ,13.000000 ,470.000000 ,1812.000000 ,2404.000000 ,445401.000000 ,46.990000 ,0.595871 ,28.000000 ,0.000000 ,2.000000 ,19.000000 ,0.000000 ,1.000000 ,6.000000 ,1637523772000.000000 ,3676515.706072 ,9480.000000 ,7985.000000 ,0.017928 ,91.900000 ,53119.000000 ,0.119261 ,5.510000 ,4873.000000 ,0.010941 ,2169.000000 ,46.158757 
2017_강남구,7720.000000 ,7.000000 ,20.000000 ,607.000000 ,3130.000000 ,3956.000000 ,561052.000000 ,39.500000 ,0.810127 ,32.000000 ,0.000000 ,2.000000 ,24.000000 ,0.000000 ,1.000000 ,5.000000 ,2759823133000.000000 ,4919014.873844 ,14203.000000 ,9345.000000 ,0.016656 ,92.000000 ,64946.000000 ,0.115758 ,5.450000 ,11201.000000 ,0.019964 ,4232.000000 ,107.139241 
